# File: BEA_GDP_97_23_17USD_state.csv
# Title: Real GDP by State (All Industry Total) 1997-2023
# Unit: Millions of chained 2017 dollars
# Source: Bureau of Economic Analysis (no stable link, but see https://apps.bea.gov/itable/iTable.cfm?ReqID=70&step=1 SAGDP9 Real GDP by industry in chained dollars, downloaded on 11/20/2024
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Fips,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
25000,Massachusetts,322389.9,335504.4,353837.9,382599.6,388180.8,388451.6,397069.9,407886,417075.6,426926.1,440373.8,447526.8,441307.6,462330.8,472664.3,483286.3,486991.8,496250.9,514398.7,521662.8,530129.4,549262.1,566326.8,559765,595911.8,608052.9,615504.5
26000,Michigan,423459.8,431274.3,457637.6,467654.4,453301.5,465788.4,477085.4,485082.7,493796.3,483763.6,482935.1,455256.7,416297.1,441271.5,453989.1,463302.6,472779.9,479534.9,490618.7,500159.5,505101.5,516843,521085.1,501893.8,530380.9,543720.9,554256.2
27000,Minnesota,225480.3,237724,247004.7,263345.6,263518.7,268982.8,280796.9,293753.9,301761.2,302272.7,304208,309290.4,296875.2,308091.9,315213.3,321053.9,329774.5,338623.9,345456.2,350603.6,354721.9,364799.7,369617.4,357475.6,377947,384727.7,390907.9
28000,Mississippi,88384.3,90960.1,93597.7,93957,93515.5,94561.5,98762.1,101369.5,103691.8,105879.9,107713.9,109434,105360,106711.8,106491.1,108646.5,109032.7,109299.6,109401.7,109911,110281.4,110174.8,111207.8,110322.8,115675.1,116557.1,119548.4
29000,Missouri,243724.1,249234,256290.4,262665.4,260381.1,264997.7,271970.5,279128.2,285341.7,286558.3,288320.8,297881.8,289566.8,295986.4,292984.2,296514.3,302025.7,303617.8,308009.9,308423.3,311273.8,314182.4,321329.1,315332.6,331580.9,339652.4,348487.4
30000,Montana,30144.8,31456.1,31633.4,32513.7,32689.6,33663.8,35249.5,36949.9,38849,40055,42057.7,42049.3,40938.4,42469.8,43532.2,44329.1,45114.7,46166.7,47765.6,47189.6,48470.5,49455,50263.5,49981.4,53303.7,55193.9,57373.3
31000,Nebraska,73974.1,75750,77421.1,80268.2,82268.1,83433.2,88310.7,90607.6,94556,97322.8,99780.7,99860.1,99986.4,103940.8,109734.2,109686.3,111382.2,115651.9,119640.8,121303.1,123219.9,125543.4,127568.9,126734.9,134939.9,139440.9,145019.6
32000,Nevada,97208.5,102779.4,110091,114810.2,116267.3,120180.1,125905.4,139373,150680.9,156297.9,157734.3,152745.6,140304.3,142614.2,144341.2,142986.1,144549.3,145303.6,151055.9,156007.4,163199.1,168638.5,176029.7,166077,182474.1,190463.3,195405.6
33000,New Hampshire,51026.6,54954.5,56913.1,60742.5,61719.4,63474.2,66119.4,68428.1,69556.1,71424.5,71943.5,71195.6,70498.6,72950.4,73465,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84438.2,83152.6,89949.3,91416.1,93466.7
34000,New Jersey,454064.1,461237.3,477827.9,503901.5,509631.5,517752.2,529815.9,536174,546357.8,555211,560823.8,573202.7,546362.2,554764.4,548479.3,560729.7,570952.4,570696.4,581414.9,587049.7,590086.7,606892.2,618691,597221.4,632463.3,650235.8,663888.5
35000,New Mexico,67993.2,67718.1,71421,72733.8,72996.4,75345.9,78766.8,85751,86295.9,88554.5,89392.3,89012.9,90829.2,90721,90552.3,90762.4,90104,92621.1,93503.9,93043.5,93210.1,96077,100342.2,97622.4,100917.6,103301.6,110323.7
36000,New York,1085934.4,1112323.6,1172149.8,1217036.4,1240755.2,1228580.8,1236563.1,1269433.1,1301438,1339568.5,1353798.9,1328095.7,1379504.6,1431624,1440346.8,1496280.1,1501818,1535375.9,1565835.2,1590567.8,1624800.7,1665186.8,1704364.3,1656784.8,1736222.3,1765102.1,1791210.7
37000,North Carolina,340580.3,351977.9,372030.3,384115.3,387433.9,393685.9,404582.5,420579.4,442305.6,470663.9,477920.8,492688.8,473610.5,482030.4,484200.3,488126.5,497456.6,509782.4,525229.1,536308.5,546810.1,556573.7,567975,564504.4,600217.3,619537.2,638067.3
38000,North Dakota,22695.3,23971.3,24069.6,24990.2,25329.8,26592.1,28326.7,28636.2,29629,30911.4,32529,35030.4,35971.3,38697.4,43300.4,53326.8,54690.9,60193,58694.5,54756,56530.2,58516.4,59408.5,55850.6,56419.2,55988,60348.6
39000,Ohio,501214.2,518604,530745.6,541005.9,534612.4,546688.2,557024.5,572308.5,584867.7,582637.6,585403,580389,550982.4,563816.3,580251.4,586540.9,603057.4,624973.4,633274.8,638157.5,652187.5,656212,674063.9,655243.3,690478.9,695257.9,709816.6
40000,Oklahoma,111864.6,114928.1,116968.4,121170.2,125695.7,127930.2,130147.8,134606.6,140360.1,149367.1,152879.6,158987.8,156856.8,158086.4,163859.3,172016,176086.8,186574.4,193792.6,190093.5,192538.6,196030.5,200072.2,191560.9,194132.8,193940.5,207923.3
41000,Oregon,124840.6,130425.1,133761.7,145094.2,144486.5,147432.8,154445.3,163046.1,168734.4,177222.4,180724.3,184842.6,176951.6,180738.2,185959.4,187352.4,189609.7,195808.2,205581.8,214769.3,225534.5,234308.3,239794.8,237424.2,250325.8,256062.7,261951.5
42000,Pennsylvania,521711.8,534933.6,552163.6,566250.9,577677.5,583507.4,598809.5,614957.1,626290.1,626589.9,649638.1,665148.3,645206.7,666805.8,676468.3,689007,704195,718691.6,734145.1,744847.1,754318,763855.4,771852.5,736381.3,765508.8,779360.6,799228.8
44000,Rhode Island,43434.7,45381.3,46831.2,49113.6,49705.2,51284.3,52933.1,55160.5,55885.9,57415.8,56230.5,54977.1,54481.5,56050.6,56026.6,56487.4,57037.2,57602.7,58387.9,58630,58771.6,58740.1,60157.6,58231.7,60803,62279.4,63277
45000,South Carolina,144972.7,150732.6,157645.5,161880.2,162837.1,167333,174270.8,177169.4,183267.5,187386.1,193386.6,192497.1,184081.3,188777.2,193221,195406.1,200147.3,206077.9,213212.4,220559.3,224937.6,231663.3,239021.3,233650.1,245752.1,254504.5,262298.5
46000,South Dakota,27116.2,28772.1,30038.3,32124.9,32396.9,35776,36141.9,37616.6,39330.6,39961.6,41646.2,43278.5,44255.8,44810.7,47630.3,48653.9,48610.1,49640.9,50860.8,51264.3,51615.1,51937.8,52510.2,52770.7,55515.9,55259.8,57275.1
47000,Tennessee,226832.8,240963.4,248457.5,251030.2,250311.4,258542.4,267589.4,281564.2,289064.3,295668.2,294819.8,298526.9,287308.8,292687,301508.9,311754.2,318347.9,323879.6,335461.1,343544.9,355417.5,362363.7,370197.4,367863.6,400243.6,414470.8,422087.7
48000,Texas,860046.9,920059.6,957247.2,989904.9,1020517,1042584.4,1052132.3,1111189.1,1143413.1,1225147.3,1288828.7,1287191.5,1285560.2,1323059.1,1370174.9,1438354.4,1511806.5,1559636.1,1634127.1,1633863.3,1667313,1746543.3,1806736.1,1773657.1,1879101.3,1952708.6,2097090.4
49000,Utah,86283.5,91312.7,95206.8,98648.5,100244.3,102828.1,104829.2,111318.9,118430.2,127539.4,133799.8,133662.9,130958.6,133739.1,138301.1,140622.5,145026.9,150076.3,155431.5,162528.2,172075,182106,192760.6,194750.2,210446.9,217442.5,225459.4
50000,Vermont,21372.2,22266.5,23561.7,24844.6,25681.8,26522.8,27548.1,28989.2,29283.2,29420.9,29296.6,30168.6,29565.7,30890.6,31663.6,31898.1,31494.6,31847.7,32042.9,32312.7,32589.2,32827.8,33339.4,32252.7,33721.9,34752.6,35236.6
51000,Virginia,319992.6,338931.5,356391.8,372914.1,386444.7,390242.4,404522.2,421744.4,442089.5,451263.1,457568.9,462034.7,460075.3,475699.3,479571.4,483041.4,488741.3,488918.6,498943.6,505107.7,515167.2,527767.5,541028,534532.3,565470.6,580475.2,597597.1
53000,Washington,281522.2,299817,322721.6,325857.6,317860.6,321977.1,327645.2,335449.3,358396.3,372145,394221.9,401093.2,390814,403471.3,411575.7,426447,439472.2,456186.5,476715.4,495724.9,527169.4,561785.7,588794.4,589156.8,630051.5,644075.1,677238
54000,West Virginia,60364.6,61725.7,63691.7,63364.6,63599.8,64465.7,65106.8,66077.6,67888.8,68900,69374.1,70966.8,70886.5,71823.8,73175.2,73124.5,73949,74111.3,74261.4,73513.3,75172.4,77406.5,77162.2,74553.8,75765.1,77188,80798.2
55000,Wisconsin,222978.5,232087.1,242026,248572,252941.8,257966.9,265745.8,275412.4,282065.7,287146.6,289855.2,286204.7,277279.4,287652.9,293664,299007.6,301550.5,309425.8,315687.8,319272.3,321886.8,328832.4,333256.8,322470.6,334514,339747.9,344570.8
56000,Wyoming,24257.7,24804.7,25866.8,26614.2,28338.1,28901.3,29806.6,30780.1,32463.1,36655.6,39504.8,41641.2,40599.6,39135.8,38929.8,38085,38408.7,39287.2,40063.9,37853.5,37620.3,37977.2,38577.1,36198.2,37131.8,37827.2,40210.8
