# File: NREL_ATB_OMvar_2019.csv
# Title: Technology variable O&M cost assumptions by year from NREL 2019 ATB
# Units: $2017/MWh
# Source: NREL 2019 Annual Technology Baseline for 2017-2018 (https://atb.nrel.gov/electricity/2019/files/2019-ATB-data.xlsm)
# Comments: tech_type corresponds to tab within the ATB workbooks; tech_detail corresponds to the more detailed technologies within those tabs
# Users can specify how ATB technologies are mapped to GCAM technologies in energy/mappings/atb_gcam_mapping.csv
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
tech_type,tech_detail,input,case,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Biopower,Dedicated,OM-var,central,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57
Biopower,Dedicated,OM-var,low tech,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57,5.57
Storage,2Hr Battery Storage,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,2Hr Battery Storage,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,2Hr Battery Storage,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,4Hr Battery Storage,OM-var,adv tech,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storage,4Hr Battery Storage,OM-var,central,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storage,4Hr Battery Storage,OM-var,low tech,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storage,6Hr Battery Storage,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,6Hr Battery Storage,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,6Hr Battery Storage,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,8Hr Battery Storage,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,8Hr Battery Storage,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,8Hr Battery Storage,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,10Hr Battery Storage,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,10Hr Battery Storage,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storage,10Hr Battery Storage,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 10,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 10,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 10,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 9,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 9,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 9,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 8,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 8,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 8,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 7,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 7,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 7,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 6,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 6,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 6,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 5,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 5,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 5,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 4,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 4,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 4,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 3,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 3,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 3,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 2,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 2,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 2,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 1,OM-var,adv tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 1,OM-var,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV+Storage ,PV+Storage - Class 1,OM-var,low tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
