# File: USDA_Alfalfa_prices_USDt.csv
# Title: USDA historical Alfalfa prices
# Unit: USD/tonne
# Description: ANNUAL PRICES RECEIVED FOR ALFALFA HAY IN DOLLARS PER TON
# Source: USDA NASS
# Date of last update: 2022-03-15 (XZ)
# Column types: cicccccccccccicccccnn
# ----------
Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2011,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,196,
SURVEY,2010,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,123,
SURVEY,2009,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,113,
SURVEY,2008,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,165,
SURVEY,2007,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,137,
SURVEY,2006,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,113,
SURVEY,2005,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,104,
SURVEY,2004,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,98.6,
SURVEY,2003,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,90.8,
SURVEY,2002,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,100,
SURVEY,2001,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,104,
SURVEY,2000,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,88.9,
SURVEY,1999,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,80.2,
SURVEY,1998,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,88.1,
SURVEY,1997,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,107,
SURVEY,1996,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,101.8,
SURVEY,1995,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,87.2,
SURVEY,1994,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,92.1,
SURVEY,1993,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,89.3,
SURVEY,1992,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,78.2,
SURVEY,1991,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,74.6,
SURVEY,1990,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,86.6,
SURVEY,1989,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,93.8,
SURVEY,1971,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,27.1,
SURVEY,1970,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,24.7,
SURVEY,1969,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,23.9,
SURVEY,1968,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,23,
SURVEY,1967,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,23.6,
SURVEY,1966,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,24.7,
SURVEY,1965,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,24,
SURVEY,1964,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,24,
SURVEY,1963,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,23.5,
SURVEY,1962,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,21.4,
SURVEY,1961,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY,"HAY, ALFALFA - PRICE RECEIVED, MEASURED IN $ / TON",TOTAL,NOT SPECIFIED,21,
