# File: UCD_trn_data_SSP1.csv,,,,,,,,,,,,,,
# Title: SSP1 UCD transportation database,,,,,,,,,,,,,,
# Units: varies,,,,,,,,,,,,,,
# Description: UC Davis transportation database,,,,,,,,,,,,,,
# Source: Unknown,,,,,,,,,,,,,,
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2020,2035,2050,2065,2080,2095
China,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,19486,19486,19486,19486,19486,19486,19486
China,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,19650,19650,19650,19650,19650,19650,19650
Eastern Europe,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,9690,9690,9690,9690,9690,9690,9690
Eastern Europe,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,9690,9690,9690,9690,9690,9690,9690
Eastern Europe,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,9690,9690,9690,9690,9690,9690,9690
Eastern Europe,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,8962,8962,8962,8962,8962,8962,8962
Eastern Europe,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,8962,8962,8962,8962,8962,8962,8962
Eastern Europe,Passenger,LDV_4W,Van,All,All,annual travel per vehicle,vkt/veh/yr,8962,8962,8962,8962,8962,8962,8962
Eastern Europe,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,8962,8962,8962,8962,8962,8962,8962
Former Soviet Union,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,7829,7829,7829,7829,7829,7829,7829
Former Soviet Union,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,7829,7829,7829,7829,7829,7829,7829
Former Soviet Union,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,7829,7829,7829,7829,7829,7829,7829
Former Soviet Union,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,11482,11482,11482,11482,11482,11482,11482
Former Soviet Union,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,11482,11482,11482,11482,11482,11482,11482
Former Soviet Union,Passenger,LDV_4W,Midsize Car,All,All,annual travel per vehicle,vkt/veh/yr,11482,11482,11482,11482,11482,11482,11482
Former Soviet Union,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,11482,11482,11482,11482,11482,11482,11482
India,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
India,Passenger,LDV_2W,Scooter,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
India,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
India,Passenger,LDV_3W,Three-Wheeler,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
India,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391
India,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,10392,10392,10392,10392,10392,10392,10392
India,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10401,10401,10401,10401,10401,10401,10401
India,Passenger,LDV_4W,Multipurpose Vehicle,All,All,annual travel per vehicle,vkt/veh/yr,9466,9466,9466,9466,9466,9466,9466
Japan,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674
Japan,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674
Japan,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674
Japan,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,9424,9424,9424,9424,9424,9424,9424
Japan,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,9164,9164,9164,9164,9164,9164,9164
Japan,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10925,10925,10925,10925,10925,10925,10925
Japan,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,8710,8710,8710,8710,8710,8710,8710
Korea,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,3674,3674,3674,3674,3674,3674,3674
Korea,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353
Korea,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353
Korea,Passenger,LDV_4W,Large Car,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353
Korea,Passenger,LDV_4W,Light Truck and SUV,All,All,annual travel per vehicle,vkt/veh/yr,15353,15353,15353,15353,15353,15353,15353
Latin America,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,4500,4500,4500,4500,4500,4500,4500
Latin America,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,6000,6000,6000,6000,6000,6000,6000
Latin America,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,6000,6000,6000,6000,6000,6000,6000
Latin America,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000
Latin America,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000
Latin America,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000
Latin America,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000
Middle East,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,5000,5000,5000,5000,5000,5000,5000
Middle East,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10000,10000,10000,10000,10000,10000,10000
Middle East,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000
Middle East,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000
Middle East,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,14000,14000,14000,14000,14000,14000,14000
Southeast Asia,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_2W,Scooter,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_3W,Three-Wheeler,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478
Southeast Asia,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391
Southeast Asia,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,10392,10392,10392,10392,10392,10392,10392
Southeast Asia,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10401,10401,10401,10401,10401,10401,10401
Southeast Asia,Passenger,LDV_4W,Multipurpose Vehicle,All,All,annual travel per vehicle,vkt/veh/yr,9466,9466,9466,9466,9466,9466,9466
USA,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,3438,3438,3438,3438,3438,3438,3438
USA,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,19204,19204,19204,19204,19204,19204,19204
USA,Passenger,LDV_4W,Midsize Car,All,All,annual travel per vehicle,vkt/veh/yr,19204,19204,19204,19204,19204,19204,19204
USA,Passenger,LDV_4W,Large Car,All,All,annual travel per vehicle,vkt/veh/yr,19204,19204,19204,19204,19204,19204,19204
USA,Passenger,LDV_4W,Light Truck and SUV,All,All,annual travel per vehicle,vkt/veh/yr,16587,16587,16587,16587,16587,16587,16587
Western Europe,Passenger,LDV_2W,Moped,All,All,annual travel per vehicle,vkt/veh/yr,3606,3606,3606,3606,3606,3606,3606
Western Europe,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,4377,4377,4377,4377,4377,4377,4377
Western Europe,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,4327,4327,4327,4327,4327,4327,4327
Western Europe,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646
Western Europe,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646
Western Europe,Passenger,LDV_4W,Van,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646
Western Europe,Passenger,LDV_4W,Large Car and SUV,All,All,annual travel per vehicle,vkt/veh/yr,11646,11646,11646,11646,11646,11646,11646
Africa,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,5.0155,4.6487,4.476,4.6121,4.6121,4.6121,4.6121
Africa,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,8.681,8.0462,7.7472,7.9829,7.9829,7.9829,7.9829
Australia_NZ,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.5621,4.3926,4.5263,4.5263,4.5263,4.5263
Australia_NZ,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0112,8.3522,8.0419,8.2866,8.2866,8.2866,8.2866
Canada,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,5.0469,4.7492,4.6422,4.7835,4.7835,4.7835,4.7835
Canada,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.3831,8.8296,8.6307,8.8933,8.8933,8.8933,8.8933
China,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.5621,4.3926,4.5263,4.5263,4.5263,4.5263
China,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0112,8.3522,8.0419,8.2866,8.2866,8.2866,8.2866
Eastern Europe,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.8774,4.5208,4.3528,4.4852,4.4852,4.4852,4.4852
Eastern Europe,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0329,8.3723,8.0613,8.3065,8.3065,8.3065,8.3065
Former Soviet Union,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.8774,4.5208,4.3528,4.4852,4.4852,4.4852,4.4852
Former Soviet Union,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0329,8.3723,8.0613,8.3065,8.3065,8.3065,8.3065
India,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.5621,4.3926,4.5263,4.5263,4.5263,4.5263
India,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0112,8.3522,8.0419,8.2866,8.2866,8.2866,8.2866
Japan,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.5621,4.3926,4.5263,4.5263,4.5263,4.5263
Japan,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0112,8.3522,8.0419,8.2866,8.2866,8.2866,8.2866
Korea,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.9221,4.5621,4.3926,4.5263,4.5263,4.5263,4.5263
Korea,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0112,8.3522,8.0419,8.2866,8.2866,8.2866,8.2866
Latin America,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.5748,4.2403,4.0827,4.2069,4.2069,4.2069,4.2069
Latin America,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,8.2112,7.6107,7.3279,7.5508,7.5508,7.5508,7.5508
Middle East,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,5.5554,5.1491,4.9578,5.1086,5.1086,5.1086,5.1086
Middle East,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.1039,8.4381,8.1246,8.3718,8.3718,8.3718,8.3718
Southeast Asia,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.5748,4.2403,4.0827,4.2069,4.2069,4.2069,4.2069
Southeast Asia,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,8.2112,7.6107,7.3279,7.5508,7.5508,7.5508,7.5508
USA,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,5.0469,4.7492,4.6422,4.7835,4.7835,4.7835,4.7835
USA,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.3831,8.8296,8.6307,8.8933,8.8933,8.8933,8.8933
Western Europe,Passenger,Air Domestic,All,Liquids,Liquids,CAPEX,2005$/vkt,4.8774,4.3857,4.0971,4.2217,4.2217,4.2217,4.2217
Western Europe,Passenger,Air International,All,Liquids,Liquids,CAPEX,2005$/vkt,9.0329,8.1222,7.5877,7.8185,7.8185,7.8185,7.8185
Africa,Passenger,Bus,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319
Africa,Passenger,Bus,All,NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609
Africa,Passenger,HSR,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,58.7385,58.74,48.9513,48.9525,48.9538,48.955,48.9562
Africa,Passenger,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,15.6051,15.6261,15.6469,15.6676,15.6883,15.7089,15.7294
Africa,Passenger,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,16.3642,16.3661,16.3679,16.3697,16.3715,16.3733,16.3751
Africa,Passenger,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,,12.1263,12.1424,12.1584,12.1744,12.1903
Africa,Passenger,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,,12.6851,12.6865,12.6879,12.6893,12.6907
Africa,Freight,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,21.3822,21.403,21.4237,21.4443,21.4649,21.4853,21.5057
Africa,Freight,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,15.7874,15.7888,15.7902,15.7916,15.793,15.7944,15.7957
Africa,Freight,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,20.2233,20.2429,20.2624,20.2818,20.3011,20.3204
Africa,Freight,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,14.1777,14.179,14.1802,14.1815,14.1827,14.1839
Africa,Freight,Ship Domestic,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137
Africa,Freight,Ship International,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,22.8381,22.8381,22.8381,22.8381,22.8381,22.8381,22.8381
Africa,Freight,Truck,Truck (0-2t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.2844,0.2654,0.2465,0.2275,0.2199,0.2123,0.2048
Africa,Freight,Truck,Truck (0-2t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,0.374,0.3421,0.3112,0.2813,0.2719,0.2625,0.2532
Africa,Freight,Truck,Truck (2-5t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.5119,0.4778,0.4436,0.4095,0.3959,0.3822,0.3686
Africa,Freight,Truck,Truck (2-5t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,0.6733,0.6158,0.5602,0.5063,0.4895,0.4726,0.4557
Africa,Freight,Truck,Truck (5-9t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.5708,0.5327,0.4947,0.4566,0.4414,0.4262,0.411
Africa,Freight,Truck,Truck (5-9t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,0.7507,0.6867,0.6246,0.5646,0.5458,0.5269,0.5081
Africa,Freight,Truck,Truck (9-16t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.5968,0.5571,0.5173,0.4775,0.4616,0.4456,0.4297
Africa,Freight,Truck,Truck (9-16t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,0.785,0.718,0.6531,0.5904,0.5707,0.551,0.5313
Australia_NZ,Passenger,Bus,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319,1.6319
Australia_NZ,Passenger,Bus,All,NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609,1.7609
Australia_NZ,Passenger,HSR,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,53.6017,53.6017,53.6031,44.6703,44.6714,44.6725,44.6736
Australia_NZ,Passenger,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,9.0169,9.017,9.0171,9.0171,9.0172,9.0173,9.0173
Australia_NZ,Passenger,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,7.138,7.1382,7.1383,7.1385,7.1387,7.1389,7.139
Australia_NZ,Passenger,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,,6.9882,6.9883,6.9883,6.9884,6.9884
Australia_NZ,Passenger,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,,5.5322,5.5324,5.5325,5.5326,5.5328
Australia_NZ,Freight,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,80.1259,80.1271,80.1283,80.1295,80.1306,80.1318,80.133
Australia_NZ,Freight,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,47.6271,47.6295,47.6319,47.6342,47.6366,47.639,47.6413
Australia_NZ,Freight,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,75.7106,75.5546,75.5563,75.558,75.5597,75.5614
Australia_NZ,Freight,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,42.7693,42.4843,42.4875,42.4907,42.4939,42.4971
Australia_NZ,Freight,Ship Domestic,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137
Australia_NZ,Freight,Ship International,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,22.8381,22.8381,22.8381,22.8381,22.8381,22.8381,22.8381
Australia_NZ,Freight,Truck,Truck (0-1t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.022,1.022,1.022,1.022,1.022,1.022,1.022
Australia_NZ,Freight,Truck,Truck (0-1t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.3441,1.3173,1.2904,1.2636,1.2636,1.2636,1.2636
Australia_NZ,Freight,Truck,Truck (1-6t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.234,1.234,1.234,1.234,1.234,1.234,1.234
Australia_NZ,Freight,Truck,Truck (1-6t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.623,1.5905,1.5581,1.5257,1.5257,1.5257,1.5257
Australia_NZ,Freight,Truck,Truck (6-30t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.3772,1.3772,1.3772,1.3772,1.3772,1.3772,1.3772
Australia_NZ,Freight,Truck,Truck (6-30t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.8113,1.7751,1.7389,1.7027,1.7027,1.7027,1.7027
Canada,Passenger,Bus,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.802,1.802,1.802,1.802,1.802,1.802,1.802
Canada,Passenger,Bus,All,NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.9444,1.9444,1.9444,1.9444,1.9444,1.9444,1.9444
Canada,Passenger,HSR,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,43.3525,43.3525,43.3532,36.1283,36.1289,36.1295,36.1301
Canada,Passenger,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,7.132,7.1326,7.1332,7.1337,7.1343,7.1349,7.1355
Canada,Passenger,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,5.7732,5.7733,5.7734,5.7735,5.7736,5.7737,5.7737
Canada,Passenger,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,,5.5282,5.5287,5.5291,5.5296,5.53
Canada,Passenger,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,,4.4744,4.4744,4.4745,4.4746,4.4747
Canada,Freight,Rail,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,71.22,71.2332,71.2464,71.2596,71.2726,71.2857,71.2987
Canada,Freight,Rail,All,Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,44.4177,44.4194,44.421,44.4226,44.4242,44.4258,44.4274
Canada,Freight,Rail,All,Tech-Adv-Liquid,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,,67.307,65.5887,65.6076,65.6264,65.6452,65.6638
Canada,Freight,Rail,All,Tech-Adv-Electric,Electricity,CAPEX and non-fuel OPEX,2005$/vkt,,39.8868,39.693,39.6952,39.6974,39.6996,39.7017
Canada,Freight,Ship Domestic,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137,0.9137
Canada,Freight,Ship International,All,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,22.8381,22.8381,22.8381,22.8381,22.8381,22.8381,22.8381
Canada,Freight,Truck,Truck (0-4.5t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.1038,1.1038,1.1038,1.1038,1.1038,1.1038,1.1038
Canada,Freight,Truck,Truck (0-4.5t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.4518,1.4228,1.3938,1.3648,1.3648,1.3648,1.3648
Canada,Freight,Truck,Truck (4.5-15t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.2552,1.2552,1.2552,1.2552,1.2552,1.2552,1.2552
Canada,Freight,Truck,Truck (4.5-15t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.6509,1.6179,1.5849,1.552,1.552,1.552,1.552
Canada,Freight,Truck,Truck (>15t),Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.3152,1.3152,1.3152,1.3152,1.3152,1.3152,1.3152
Canada,Freight,Truck,Truck (>15t),NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.7298,1.6953,1.6607,1.6262,1.6262,1.6262,1.6262
China,Passenger,Bus,Heavy Bus,Liquids,Liquids,CAPEX and non-fuel OPEX,2005$/vkt,1.6319,1.2667,1.2667,1.2667,1.2667,1.2667,1.2667
China,Passenger,Bus,Heavy Bus,NG,Natural Gas,CAPEX and non-fuel OPEX,2005$/vkt,1.7609,1.3669,1.3669,1.3669,1.3669,1.3669,1.3669
